                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  1.233,                0.66151,                0.92434,                0.85335,                0.69913,                0.78516,                0.47747,                 1.2149,                0.60663,                0.92087,               0.002872,               0.002872,               0.002872
                     38,                 1.2281,                0.65835,                0.92394,                0.85345,                0.69972,                0.78556,                0.47802,                  1.214,                0.60495,                0.92022,               0.002674,               0.002674,               0.002674
                     39,                 1.2338,                0.65988,                0.92382,                0.85104,                0.70253,                0.78637,                0.47925,                 1.2109,                0.60324,                0.91947,               0.002476,               0.002476,               0.002476
                     40,                 1.2241,                0.65357,                0.92048,                0.85539,                0.69908,                0.78649,                 0.4792,                 1.2097,                0.60243,                0.91863,               0.002278,               0.002278,               0.002278
                     41,                 1.2367,                  0.647,                 0.9276,                0.85401,                0.70233,                  0.788,                  0.486,                 1.1948,                0.60011,                0.91605,                0.00208,                0.00208,                0.00208
                     42,                  1.226,                0.63983,                0.92583,                0.85606,                0.70133,                0.78893,                0.48737,                 1.1922,                0.59968,                0.91546,               0.001882,               0.001882,               0.001882
                     43,                 1.2264,                0.63909,                0.92584,                0.85669,                0.70128,                0.78939,                 0.4875,                 1.1906,                 0.5987,                0.91489,               0.001684,               0.001684,               0.001684
                     44,                  1.218,                 0.6341,                0.92345,                 0.8556,                0.70188,                0.78923,                0.48734,                 1.1905,                0.59825,                0.91493,               0.001486,               0.001486,               0.001486
                     45,                 1.2167,                0.63232,                0.92313,                0.85711,                0.70165,                0.78951,                0.48754,                 1.1913,                0.59859,                0.91498,               0.001288,               0.001288,               0.001288
                     46,                 1.2167,                0.63112,                0.92287,                0.85662,                0.70224,                0.78961,                0.48854,                 1.1886,                0.59744,                0.91444,                0.00109,                0.00109,                0.00109
                     47,                 1.2099,                0.62566,                0.92001,                0.85608,                0.70286,                0.78994,                0.48866,                   1.19,                0.59753,                0.91457,               0.000892,               0.000892,               0.000892
                     48,                 1.2065,                0.62311,                 0.9208,                0.85623,                0.70296,                0.79028,                0.48866,                 1.1893,                0.59733,                0.91443,               0.000694,               0.000694,               0.000694
                     49,                 1.2023,                0.61989,                0.91875,                0.85748,                0.70259,                0.79029,                0.48887,                 1.1892,                0.59701,                0.91439,               0.000496,               0.000496,               0.000496
                     50,                 1.1999,                0.61663,                0.91893,                0.85879,                0.70177,                0.79042,                0.48873,                 1.1894,                0.59688,                0.91447,               0.000298,               0.000298,               0.000298
